# wavelength_A  flux_norm
5700.00000  1.00000000
5700.13752  1.00000000
5700.27503  1.00000000
5700.41255  1.00000000
5700.55007  1.00000000
5700.68759  1.00000000
5700.82510  1.00000000
5700.96262  1.00000000
5701.10014  1.00000000
5701.23765  1.00000000
5701.37517  1.00000000
5701.51269  1.00000000
5701.65021  1.00000000
5701.78772  1.00000000
5701.92524  1.00000000
5702.06276  1.00000000
5702.20028  1.00000000
5702.33779  1.00000000
5702.47531  1.00000000
5702.61283  1.00000000
5702.75034  1.00000000
5702.88786  1.00000000
5703.02538  1.00000000
5703.16290  1.00000000
5703.30041  1.00000000
5703.43793  1.00000000
5703.57545  1.00000000
5703.71296  1.00000000
5703.85048  1.00000000
5703.98800  1.00000000
5704.12552  1.00000000
5704.26303  1.00000000
5704.40055  1.00000000
5704.53807  1.00000000
5704.67558  1.00000000
5704.81310  1.00000000
5704.95062  1.00000000
5705.08814  1.00000000
5705.22565  1.00000000
5705.36317  1.00000000
5705.50069  1.00000000
5705.63820  1.00000000
5705.77572  1.00000000
5705.91324  1.00000000
5706.05076  1.00000000
5706.18827  1.00000000
5706.32579  1.00000000
5706.46331  1.00000000
5706.60083  1.00000000
5706.73834  1.00000000
5706.87586  1.00000000
5707.01338  1.00000000
5707.15089  1.00000000
5707.28841  1.00000000
5707.42593  1.00000000
5707.56345  1.00000000
5707.70096  1.00000000
5707.83848  1.00000000
5707.97600  1.00000000
5708.11351  1.00000000
5708.25103  1.00000000
5708.38855  1.00000000
5708.52607  1.00000000
5708.66358  1.00000000
5708.80110  1.00000000
5708.93862  1.00000000
5709.07613  1.00000000
5709.21365  1.00000000
5709.35117  1.00000000
5709.48869  1.00000000
5709.62620  1.00000000
5709.76372  1.00000000
5709.90124  1.00000000
5710.03875  1.00000000
5710.17627  1.00000000
5710.31379  1.00000000
5710.45131  1.00000000
5710.58882  1.00000000
5710.72634  1.00000000
5710.86386  1.00000000
5711.00138  1.00000000
5711.13889  1.00000000
5711.27641  1.00000000
5711.41393  1.00000000
5711.55144  1.00000000
5711.68896  1.00000000
5711.82648  1.00000000
5711.96400  1.00000000
5712.10151  1.00000000
5712.23903  1.00000000
5712.37655  1.00000000
5712.51406  1.00000000
5712.65158  1.00000000
5712.78910  1.00000000
5712.92662  1.00000000
5713.06413  1.00000000
5713.20165  1.00000000
5713.33917  1.00000000
5713.47668  1.00000000
5713.61420  1.00000000
5713.75172  1.00000000
5713.88924  1.00000000
5714.02675  1.00000000
5714.16427  1.00000000
5714.30179  1.00000000
5714.43930  1.00000000
5714.57682  1.00000000
5714.71434  1.00000000
5714.85186  1.00000000
5714.98937  1.00000000
5715.12689  1.00000000
